case_id,scenario,seed,elapsed_seconds,population_size,generations,feasible_population,pareto_size,min_cost_usd,min_makespan_h,hypervolume_normalized,spacing_normalized
D2,pilot_baseline,20260923,17.31575687462464,48,99,48,1,24663005.82086107,760.8,0.825203745417856,0.0
D2,pilot_baseline,20260924,17.192486207932234,48,99,48,1,25003761.521088906,760.8,0.11000000000000011,0.0
D2,pilot_baseline,20260925,17.149940302129835,48,99,48,1,24792358.72733636,760.8,0.5537081163500082,0.0
D2,pilot_baseline,20260926,17.195368833839893,48,99,48,1,24479671.326298855,760.8,1.2100000000000002,0.0
D2,pilot_baseline,20260927,17.113658776972443,48,99,48,1,24860064.567702636,760.8,0.41160199579428836,0.0
D2,pilot_baseline,20260928,16.929380568675697,48,99,48,1,24854948.492444426,760.8,0.42234000013013695,0.0
D2,pilot_baseline,20260929,17.3496927539818,48,99,48,2,24650925.211786237,760.8,0.779534772896467,0.0
D2,pilot_baseline,20260930,16.981901509687304,48,99,48,1,24687319.652601946,760.8,0.7741720428963534,0.0
D2,pilot_baseline,20260931,17.329525240231305,48,99,48,1,24898457.24313864,760.8,0.3310205550433818,0.0
D2,pilot_baseline,20260932,17.019415982067585,48,99,48,1,25001183.650543038,760.8,0.11541062898837604,0.0
D2,pilot_baseline,20260933,17.243522449862212,48,99,48,1,24770102.092880413,760.8,0.6004220181648426,0.0
D2,pilot_baseline,20260934,17.28666141908616,48,99,48,1,24586080.915473863,760.8,0.9866595344539899,0.0
D2,pilot_baseline,20260935,17.136323421727866,48,99,48,1,24698070.883247476,760.8,0.7516065497281009,0.0
D3,pilot_baseline,20260906,17.401342120952904,48,99,48,1,26469059.44543016,772.8,0.4012140232004618,0.0
D3,pilot_baseline,20260907,17.69989206176251,48,99,48,1,26609174.919585202,772.8,0.1981030304508444,0.0
D3,pilot_baseline,20260908,17.242277138866484,48,99,48,1,26079297.006371193,772.8,0.966212546105793,0.0
D3,pilot_baseline,20260909,17.0252375039272,48,99,48,1,26320263.66742021,772.8,0.616907959725354,0.0
D3,pilot_baseline,20260910,17.196449021808803,48,99,48,1,26307678.553385116,772.8,0.6351513052298358,0.0
D3,pilot_baseline,20260911,17.4126488850452,48,99,48,1,26176166.917602986,772.8,0.8257901983493598,0.0
D3,pilot_baseline,20260912,17.43188440380618,48,99,48,1,26122556.59789281,772.8,0.9035035652963215,0.0
D3,pilot_baseline,20260913,17.282534001860768,48,99,48,1,26015253.061590463,772.8,1.0590504662745668,0.0
D3,pilot_baseline,20260914,17.381682941690087,48,99,48,1,26598373.29253533,772.8,0.21376103829502238,0.0
D3,pilot_baseline,20260915,17.182969368062913,48,99,48,1,26076396.32178736,772.8,0.9704173702269577,0.0
D3,pilot_baseline,20260916,17.163349540904164,48,99,48,1,26536734.945540957,772.8,0.30311181075588234,0.0
D3,pilot_baseline,20260917,17.23852199409157,48,99,48,1,26273199.231391843,772.8,0.6851324323081922,0.0
D3,pilot_baseline,20260918,17.239211614243686,48,99,48,1,26251607.797448754,772.8,0.7164313135310897,0.0
D3,pilot_baseline,20260919,17.172866078093648,48,99,48,2,26051451.311195977,772.8,1.0027037366326046,0.0
D3,pilot_baseline,20260920,17.245213351678103,48,99,48,1,26194194.713873573,772.8,0.7996571561590665,0.0
D3,pilot_baseline,20260921,16.91049063578248,48,99,48,1,26311509.62337232,772.8,0.6295977970746036,0.0
D3,pilot_baseline,20260922,16.868753343820572,48,99,48,1,26435618.203261428,772.8,0.4496903527181826,0.0
D3,pilot_baseline,20260923,17.227505795657635,48,99,48,1,26201554.375176195,772.8,0.7889886120707632,0.0
D3,pilot_baseline,20260924,17.09346647700295,48,99,48,1,26265032.769009996,772.8,0.6969705129458383,0.0
D3,pilot_baseline,20260925,17.226597547065467,48,99,48,1,26368053.105342567,772.8,0.5476325264593905,0.0
D3,pilot_baseline,20260926,17.534660381264985,48,99,48,1,26422054.461182844,772.8,0.4693523146506131,0.0
D3,pilot_baseline,20260927,17.655991435982287,48,99,48,1,26669952.515711345,772.8,0.11000000000000011,0.0
D3,pilot_baseline,20260928,17.250905780121684,48,99,48,1,25964485.53570739,772.8,1.1326429273766325,0.0
D3,pilot_baseline,20260929,17.203631543088704,48,99,48,1,25911121.004506312,772.8,1.2100000000000002,0.0
D3,pilot_baseline,20260930,17.428597636986524,48,99,48,1,26200047.05618347,772.8,0.7911736173947596,0.0
D3,pilot_baseline,20260931,17.200755917932838,48,99,48,1,25996371.059356377,772.8,1.0864217629995956,0.0
D3,pilot_baseline,20260932,17.464167568832636,48,99,48,1,26065791.07540373,772.8,0.9857907052159954,0.0
D3,pilot_baseline,20260933,17.362245144788176,48,99,48,1,26362923.702057235,772.8,0.5550680948702293,0.0
D3,pilot_baseline,20260934,17.002016277052462,48,99,48,1,26141736.434183106,772.8,0.8757005291706573,0.0
D3,pilot_baseline,20260935,17.27085486985743,48,99,48,2,26522922.71177578,772.8,0.3074182919994338,0.0
