gen,HV_norm,feasible_ratio_soft,feasible_ratio_strict,min_cost,min_makespan_h,vio_mean_miss_alloc,vio_mean_miss_tt,vio_mean_cap_excess,vio_mean_node_cap_excess,vio_mean_late_h,vio_mean_wait_h
42,0.29232,1.0,1.0,4488265.137737901,289.7991666666667,0.0,0.0,0.0,0.0,0.0,728.8728806712969
43,0.29232,1.0,1.0,4459010.915239802,289.7991666666667,0.0,0.0,0.0,0.0,0.0,717.7954315451342
44,0.29232,1.0,1.0,4458322.234654301,289.7991666666667,0.0,0.0,0.0,0.0,0.0,726.0785644449714
45,0.31392,1.0,1.0,4458322.234654301,289.7991666666667,0.0,0.0,0.0,0.0,0.0,709.3773215792277
46,0.31392,1.0,1.0,4423912.354197136,289.7991666666667,0.0,0.0,0.0,0.0,0.0,709.3906742914027
47,0.31392,1.0,1.0,4423912.354197136,289.7991666666667,0.0,0.0,0.0,0.0,0.0,708.7698691724281
48,0.31392,1.0,1.0,4423912.354197136,289.7991666666667,0.0,0.0,0.0,0.0,0.0,714.994191601052
49,0.31392,1.0,1.0,4400704.488948937,289.7991666666667,0.0,0.0,0.0,0.0,0.0,714.5705178702577
50,0.41688,1.0,1.0,4400704.488948937,289.7991666666667,0.0,0.0,0.0,0.0,0.0,715.9344327797166
51,0.41688,1.0,1.0,4400704.488948937,289.7991666666667,0.0,0.0,0.0,0.0,0.0,719.9913538609671
52,0.41688,1.0,1.0,4400704.488948937,289.7991666666667,0.0,0.0,0.0,0.0,0.0,728.2316667186132
53,0.41688,1.0,1.0,4400704.488948937,289.7991666666667,0.0,0.0,0.0,0.0,0.0,735.5954366806005
54,0.41688,1.0,1.0,4400704.488948937,289.7991666666667,0.0,0.0,0.0,0.0,0.0,737.6510592787499
55,0.44423999999999997,1.0,1.0,4389819.24425931,289.7991666666667,0.0,0.0,0.0,0.0,0.0,738.7425253023772
56,0.44423999999999997,1.0,1.0,4389819.24425931,289.7991666666667,0.0,0.0,0.0,0.0,0.0,745.4557155716041
57,0.44423999999999997,1.0,1.0,4389819.24425931,289.7991666666667,0.0,0.0,0.0,0.0,0.0,744.8862898935687
58,0.44423999999999997,1.0,1.0,4389819.24425931,289.7991666666667,0.0,0.0,0.0,0.0,0.0,747.7756778803474
59,0.44423999999999997,1.0,1.0,4344033.482125004,289.7991666666667,0.0,0.0,0.0,0.0,0.0,758.7040981306362
60,0.48096,1.0,1.0,4344033.482125004,289.7991666666667,0.0,0.0,0.0,0.0,0.0,756.0850629905293
61,0.48096,1.0,1.0,4344033.482125004,289.7991666666667,0.0,0.0,0.0,0.0,0.0,753.4751832253132
62,0.48096,1.0,1.0,4338566.499826391,289.7991666666667,0.0,0.0,0.0,0.0,0.0,752.2256022823517
63,0.48096,1.0,1.0,4338500.21895255,289.7991666666667,0.0,0.0,0.0,0.0,0.0,758.1744767935098
64,0.48096,1.0,1.0,4337983.46325621,289.7991666666667,0.0,0.0,0.0,0.0,0.0,759.7067598476871
