case_id,scenario,metric,unit,paired_runs,baseline_mean,scenario_mean,mean_paired_difference,mean_paired_difference_pct,median_paired_difference,median_paired_difference_pct,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_median_ci_low,bootstrap_median_ci_high,paired_cohens_dz,positive_differences,negative_differences,ties,exact_sign_test_p_value,holm_adjusted_p_value
D2,uswc_departure_delay_240h,total_cost_usd,USD,30,25299775.72484737,64405501.97027981,39105726.245432444,154.57954043739934,39118782.02705897,154.87334098277887,38994288.37833918,39221071.65403562,38921728.240956135,39210829.361683905,121.7051541198522,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D2,uswc_departure_delay_240h,weighted_mean_delivery_time_h,h,30,621.9592710057958,846.4434957160513,224.48422471025552,36.09717744144557,224.1465332028459,35.9962918514328,223.27344571654479,225.73240746615056,223.42391290938485,226.097394415628,63.39427580153869,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D2,uswc_departure_delay_336h,total_cost_usd,USD,30,25299775.72484737,85556964.54750997,60257188.82266261,238.18737640909293,60287913.0234866,238.43993563180527,60186952.2044177,60325004.94359819,60159025.28166031,60365097.326322556,301.04443955610793,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D2,uswc_departure_delay_336h,weighted_mean_delivery_time_h,h,30,621.9592710057958,912.8461533825829,290.886882376787,46.773875874762076,289.8479849671314,46.54732863311311,289.67022296927155,292.2064114169214,289.31804956194134,291.2300005462278,80.75143912328802,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D2,uswc_port_capacity_675pct,total_cost_usd,USD,30,25299775.72484737,25295231.847031344,-4543.8778160245465,-0.017726984790209833,0.0,0.0,-22602.096532032876,13732.645507686735,-13165.551735982299,0.0,-0.08721799964968513,9,13,8,0.5234670639038086,1.0
D2,uswc_port_capacity_675pct,weighted_mean_delivery_time_h,h,30,621.9592710057958,623.6261139209753,1.6668429151794346,0.2693008780017355,1.2639652534538754,0.20287389479637297,1.0299524805647546,2.3427163181084913,0.8185987567076722,1.8713347723593756,0.8805490631556429,21,2,7,6.604194641113281e-05,0.0003962516784667969
D3,uswc_compound_30pct_delay_168h,total_cost_usd,USD,30,27115118.105582926,62923006.04681155,35807887.94122863,132.07444335836004,35864446.15814691,132.42543882434808,35616395.83948581,35992837.49959099,35507533.46584304,36019827.011871554,67.84694287123425,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D3,uswc_compound_30pct_delay_168h,weighted_mean_delivery_time_h,h,30,636.1376103430282,845.3395399794393,209.20192963641114,32.89303339217251,209.92302068661934,33.037656679435756,207.55772514648282,210.80156042159075,206.8221510398165,210.99349917384365,44.64994004829206,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D3,uswc_compound_40pct_delay_168h,total_cost_usd,USD,30,27115118.105582926,59041430.599040546,31926312.49345762,117.75807345251228,31977271.288222574,117.6302088465895,31744899.78407136,32109892.79861111,31681817.65963746,32140410.416011,61.73485614216402,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D3,uswc_compound_40pct_delay_168h,weighted_mean_delivery_time_h,h,30,636.1376103430282,829.0228396793246,192.88522933629648,30.3278101454204,193.0429177355922,30.36853354346698,191.19525793891677,194.52623923646058,191.9734719431604,194.27983741422736,41.54133886494917,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D3,uswc_departure_delay_240h,total_cost_usd,USD,30,27115118.105582926,69726308.25103173,42611190.1454488,157.16820341407146,42588494.4455767,157.01521379797003,42498724.758914076,42727644.98541102,42420895.31189295,42734773.72694316,132.71495275543472,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D3,uswc_departure_delay_240h,weighted_mean_delivery_time_h,h,30,636.1376103430282,857.403133657649,221.2655233146209,34.7896727207212,222.18954890018864,34.989697222018215,219.54264350515862,222.8824319826162,219.05754792969486,223.3852794536254,46.61007879194286,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D3,uswc_departure_delay_336h,total_cost_usd,USD,30,27115118.105582926,80423778.52090132,53308660.4153184,196.6248253088798,53324449.02632041,196.28409319257457,53164999.32854188,53449796.03488714,53080899.161611944,53533156.44303633,132.50818293116725,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D3,uswc_departure_delay_336h,weighted_mean_delivery_time_h,h,30,636.1376103430282,907.6696063878288,271.5319960448006,42.69163014395355,272.2031119466769,42.86963259549152,269.93044396272245,273.0741748785963,269.39113475939075,273.68053843706707,60.137345702857594,30,0,0,1.862645149230957e-09,5.587935447692871e-08
D3,uswc_port_capacity_675pct,total_cost_usd,USD,30,27115118.105582926,27117987.703756906,2869.5981739781796,0.01133105836611261,0.0,0.0,-35007.12123717928,43082.92645415935,-19808.349101480097,21051.715119259432,0.025703766322203014,12,12,6,1.0,1.0
D3,uswc_port_capacity_675pct,weighted_mean_delivery_time_h,h,30,636.1376103430282,638.0336663255716,1.8960559825434757,0.29981783474530677,1.147361005644541,0.18041327640022553,1.0726107702021543,2.773989870296814,0.1624200391882482,2.2390685630163034,0.7891451402939227,20,4,6,0.001543879508972168,0.00771939754486084
