case_id,scenario,seed,elapsed_seconds,population_size,generations,feasible_population,pareto_size,min_cost_usd,min_makespan_h,hypervolume_normalized,spacing_normalized
D2,pilot_baseline,20260925,6.925004277843982,48,40,48,2,26337887.33392471,760.8,0.6773014929777558,0.0
D2,pilot_baseline,20260926,6.940082866232842,48,40,48,1,26864324.095237494,760.8,0.5272361504535948,0.0
D2,pilot_baseline,20260927,7.058123846072704,48,40,48,2,26319484.990056407,760.8,0.7751287219027772,0.0
D2,pilot_baseline,20260928,7.003055247943848,48,40,48,2,26504781.48364226,760.8,0.6203452387677508,0.0
D2,pilot_baseline,20260929,7.044912013690919,48,40,48,1,26640312.450394716,760.8,0.6495388179807821,0.0
D2,pilot_baseline,20260930,6.8950132597237825,48,40,48,1,25613762.222234376,760.8,1.2100000000000002,0.0
D2,pilot_baseline,20260931,7.029647598043084,48,40,48,1,27265798.624651738,760.8,0.3080448404391263,0.0
D2,pilot_baseline,20260932,6.981047817971557,48,40,48,1,26737943.194697294,760.8,0.5962357833584055,0.0
D2,pilot_baseline,20260933,7.02876822091639,48,40,48,2,26164052.558643807,760.8,0.8043646708197381,0.0
D2,pilot_baseline,20260934,7.025149810127914,48,40,48,1,25687060.74177763,760.8,1.1699815247451746,0.0
D2,pilot_baseline,20260935,7.002576238010079,48,40,48,1,25811892.663894765,760.8,1.1018275808812865,0.0
D3,pilot_baseline,20260906,7.087776611093432,48,40,48,2,27851669.610531133,772.8,0.7710939778009027,0.0
D3,pilot_baseline,20260907,7.203941834159195,48,40,48,2,27883979.2432192,772.8,0.7410996826289953,0.0
D3,pilot_baseline,20260908,7.039215043652803,48,40,48,1,27347491.999116298,772.8,1.2069091570954142,0.0
D3,pilot_baseline,20260909,6.924118810798973,48,40,48,3,28534143.74732684,772.8,0.4368069627386263,0.15305354700655405
D3,pilot_baseline,20260910,7.001753436867148,48,40,48,2,28455177.667588796,890.4,0.20232297577240846,0.0
D3,pilot_baseline,20260911,7.03923149080947,48,40,48,1,27743912.585257497,772.8,0.9681088485550274,0.0
D3,pilot_baseline,20260912,7.071483280044049,48,40,48,1,27850488.93932133,890.4,0.3585582831963287,0.0
D3,pilot_baseline,20260913,7.049032358918339,48,40,48,2,27622638.887599923,772.8,0.8438869591366289,0.0
D3,pilot_baseline,20260914,7.026855978183448,48,40,48,1,28298813.48624062,772.8,0.6338413786085736,0.0
D3,pilot_baseline,20260915,7.05093047907576,48,40,48,1,27549885.744383957,772.8,1.0849889276567077,0.0
D3,pilot_baseline,20260916,7.04347530612722,48,40,48,1,28250445.58414281,772.8,0.6629777815810828,0.0
D3,pilot_baseline,20260917,6.961139018181711,48,40,48,2,28006758.254176416,772.8,0.7390196351645458,0.0
D3,pilot_baseline,20260918,7.002438525203615,48,40,48,2,27869766.550015748,772.8,0.8255352070437383,0.0
D3,pilot_baseline,20260919,6.945577622856945,48,40,48,1,27342361.043618813,890.4,0.47997742663656895,0.0
D3,pilot_baseline,20260920,6.981883230153471,48,40,48,1,28342467.4525019,890.4,0.24099809772609507,0.0
D3,pilot_baseline,20260921,6.856433288194239,48,40,48,2,28970802.26454519,890.4,0.05445623797775043,0.0
D3,pilot_baseline,20260922,6.865262269042432,48,40,48,2,28296684.148820356,890.4,0.24665977318539656,0.0
D3,pilot_baseline,20260923,6.9999077268876135,48,40,48,2,27879877.01077634,772.8,0.8538198645625765,0.0
D3,pilot_baseline,20260924,6.909611817914993,48,40,48,2,27619282.316665504,772.8,0.932980673243897,0.0
D3,pilot_baseline,20260925,7.020561661105603,48,40,48,2,27717911.76279712,890.4,0.38130412147983506,0.0
D3,pilot_baseline,20260926,7.14783718297258,48,40,48,1,27918017.360038284,772.8,0.8632296485601065,0.0
D3,pilot_baseline,20260927,7.094928373117,48,40,48,1,28026884.051937364,890.4,0.3164079827266566,0.0
D3,pilot_baseline,20260928,6.93093509785831,48,40,48,1,27530701.278052546,772.8,1.0965454830912225,0.0
D3,pilot_baseline,20260929,6.9596666297875345,48,40,48,2,28433102.600824736,890.4,0.21827027357352147,0.0
D3,pilot_baseline,20260930,7.006579612847418,48,40,48,2,28301127.734164827,772.8,0.5384916718916741,0.0
D3,pilot_baseline,20260931,6.900177451316267,48,40,48,1,27614017.62617108,890.4,0.41506402620655297,0.0
D3,pilot_baseline,20260932,7.08972149528563,48,40,48,2,27593727.227879766,772.8,1.0482854058100677,0.0
D3,pilot_baseline,20260933,7.018397081177682,48,40,48,1,27864992.89035763,772.8,0.8951711272890162,0.0
D3,pilot_baseline,20260934,6.896115896292031,48,40,48,1,27657167.543679398,890.4,0.40475318504296454,0.0
D3,pilot_baseline,20260935,7.029607838019729,48,40,48,2,28559979.39849037,890.4,0.1597119829491399,0.0
