case_id,scenario,point_id,total_cost_usd,quantity_weighted_mean_delivery_time_h,source_seeds
D1,la_lb_departure_delay_72h,32,26648073.056295406,686.4669959390519,20260907
D1,la_lb_departure_delay_72h,33,26699899.157598056,686.1865797847465,20260928
D1,la_lb_departure_delay_72h,34,26716964.408265807,685.9823762817495,20260907
D1,la_lb_departure_delay_72h,35,26733896.32782853,685.788708326798,20260907
D1,la_lb_departure_delay_72h,36,26776943.122556247,685.7760643976827,20260907
D1,la_lb_departure_delay_72h,37,26798677.53486229,685.4395003747725,20260907
D1,la_lb_departure_delay_72h,38,26827613.353540346,685.1710071015475,20260928
D1,la_lb_departure_delay_72h,39,26832119.24139277,685.0124515947074,20260928
D1,la_lb_departure_delay_72h,40,26870323.71668637,684.7664647800101,20260928
D1,la_lb_departure_delay_72h,41,26918237.69293148,684.6259577470556,20260928
D1,la_lb_departure_delay_72h,42,26920581.89493531,684.5592042196315,20260928
D1,la_lb_departure_delay_72h,43,26945871.981226664,684.2352137866126,20260928
D1,la_lb_departure_delay_72h,44,27016650.64900093,684.0814813820318,20260907
D1,la_lb_departure_delay_72h,45,27075390.411073778,684.0702503023774,20260928
D1,la_lb_departure_delay_72h,46,27090920.493883215,683.7118360914777,20260918
D1,la_lb_departure_delay_72h,47,27099509.433626723,683.6738912531514,20260928
D1,la_lb_departure_delay_72h,48,27112035.719734542,683.1139724683209,20260928
D1,la_lb_departure_delay_72h,49,27217094.454914942,683.0331485864328,20260919
D1,la_lb_departure_delay_72h,50,27316224.38263177,682.7997345843467,20260919
D1,la_lb_departure_delay_72h,51,27331501.167585906,682.6426027625105,20260919
D1,la_lb_departure_delay_72h,52,27353121.043313242,682.5935745335483,20260919
D1,la_lb_departure_delay_72h,53,27400187.305686094,682.2413165336653,20260919
D1,la_lb_departure_delay_72h,54,27457579.40493919,682.10461437749,20260919
D1,la_lb_departure_delay_72h,55,27475127.846487302,681.7702399699424,20260918
D1,la_lb_departure_delay_72h,56,27597761.522028323,681.5331696438203,20260918
D1,la_lb_departure_delay_72h,57,27671265.441799972,680.9285517547738,20260918
D1,la_lb_departure_delay_72h,58,27801785.38248891,680.8769132784838,20260918
D1,la_lb_departure_delay_72h,59,27892268.875639167,680.7903574369459,20260919
D1,la_lb_departure_delay_72h,60,27946030.253539655,680.6994383105533,20260918
D1,la_lb_departure_delay_72h,61,27992415.96611122,680.6232577615104,20260919
D1,la_lb_departure_delay_72h,62,28139316.97515343,680.4225333313454,20260918
D1,la_lb_departure_delay_72h,63,28332149.572455008,680.1974688409873,20260918
D1,la_lb_port_capacity_50pct,1,24930893.608474642,655.2349023262012,20260929
D1,la_lb_port_capacity_50pct,2,24940704.82150948,650.8352567753644,20260929
D1,la_lb_port_capacity_50pct,3,25046722.330274034,650.2359812193286,20260929
D1,la_lb_port_capacity_50pct,4,25065943.9853397,650.157057762457,20260927
D1,la_lb_port_capacity_50pct,5,25099215.530851416,648.7728601351488,20260934
D1,la_lb_port_capacity_50pct,6,25170810.729283363,648.5819753693336,20260934
D1,la_lb_port_capacity_50pct,7,25185461.683584347,648.2670155507706,20260934
D1,la_lb_port_capacity_50pct,8,25251034.408944722,648.1499649064303,20260922
D1,la_lb_port_capacity_50pct,9,25254131.947929624,648.0540174794351,20260934
D1,la_lb_port_capacity_50pct,10,25300310.83121164,647.7201026619094,20260906
D1,la_lb_port_capacity_50pct,11,25363018.93921191,647.4615678766605,20260934
D1,la_lb_port_capacity_50pct,12,25365062.660179533,647.2788762054203,20260934
D1,la_lb_port_capacity_50pct,13,25462719.11970464,647.0621857905377,20260922
D1,la_lb_port_capacity_50pct,14,25494071.513745375,646.9731261461301,20260907
D1,la_lb_port_capacity_50pct,15,25503277.52551346,646.8335192996275,20260934
D1,la_lb_port_capacity_50pct,16,25547671.77316292,646.6371629968601,20260907
D1,la_lb_port_capacity_50pct,17,25646166.54826108,646.5044818552957,20260907
D1,la_lb_port_capacity_50pct,18,25647335.808979772,646.4629077050631,20260922
D1,la_lb_port_capacity_50pct,19,25654236.551638156,646.3194628054049,20260935
D1,la_lb_port_capacity_50pct,20,25654482.95623436,646.232024268269,20260934
D1,la_lb_port_capacity_50pct,21,25659001.564097624,646.146146648507,20260907
D1,la_lb_port_capacity_50pct,22,25662499.9777219,645.7072766740837,20260935
D1,la_lb_port_capacity_50pct,23,25789299.865395732,645.6302611631006,20260907
D1,la_lb_port_capacity_50pct,24,25803023.831830535,645.5425528415101,20260935
D1,la_lb_port_capacity_50pct,25,25829381.892407145,644.9564903127937,20260907
D1,la_lb_port_capacity_50pct,26,25947545.004904367,644.9010551484733,20260935
D1,la_lb_port_capacity_50pct,27,25965820.358097922,644.632083284647,20260935
D1,la_lb_port_capacity_50pct,28,26018004.390413016,644.6236910104864,20260907
D1,la_lb_port_capacity_50pct,29,26031270.491977084,644.5898764035106,20260935
D1,la_lb_port_capacity_50pct,30,26056076.450405777,644.4957042456792,20260927
D1,la_lb_port_capacity_50pct,31,26084450.848686304,644.3713453277587,20260935
D1,la_lb_port_capacity_50pct,32,26122586.927341223,644.3405740509208,20260935
D1,la_lb_port_capacity_50pct,33,26132546.129038565,644.1933786425891,20260927
D1,la_lb_port_capacity_50pct,34,26203266.17027371,644.1004616199616,20260927
D1,la_lb_port_capacity_50pct,35,26220251.712703474,644.0925218530222,20260935
D1,la_lb_port_capacity_50pct,36,26225616.620906234,644.0923293308159,20260927
D1,la_lb_port_capacity_50pct,37,26254010.569374103,643.8455241138256,20260935
D1,la_lb_port_capacity_50pct,38,26288318.79735203,643.5156717597563,20260927
D1,la_lb_port_capacity_50pct,39,26291871.00612112,643.4769701128472,20260927
D1,la_lb_port_capacity_50pct,40,26381657.87589582,643.4458063632683,20260935
D1,la_lb_port_capacity_50pct,41,26412194.38396134,643.3532404506121,20260935
D1,la_lb_port_capacity_50pct,42,26523588.511026856,642.9656188300225,20260916
D1,la_lb_port_capacity_50pct,43,26571643.68480504,642.6944792648203,20260916
D1,la_lb_port_capacity_50pct,44,26575424.43253104,642.2013784179537,20260907
D1,pilot_baseline,1,24842445.19812098,660.4667559181308,20260906
D1,pilot_baseline,2,24848650.87177561,660.0019607945736,20260906
D1,pilot_baseline,3,24883568.201326527,658.6343352527729,20260906
D1,pilot_baseline,4,24888497.304555107,653.2299622158317,20260906
D1,pilot_baseline,5,24952312.852573715,653.0169489543077,20260906
D1,pilot_baseline,6,24988661.712288722,651.8252915182069,20260906
D1,pilot_baseline,7,25015801.614312228,651.7410650440858,20260906
D1,pilot_baseline,8,25027305.75699999,648.6471827837831,20260906
D1,pilot_baseline,9,25048405.284625843,647.9674761935964,20260906
D1,pilot_baseline,10,25145924.420690563,647.4400488001354,20260906
D1,pilot_baseline,11,25150426.31195558,646.7272102563984,20260906
D1,pilot_baseline,12,25154848.34343224,646.6180078702163,20260906
D1,pilot_baseline,13,25177392.60003796,645.9118055369357,20260933
D1,pilot_baseline,14,25183901.81765151,644.1530559632971,20260923
D1,pilot_baseline,15,25195300.396754384,644.1155008779716,20260923
D1,pilot_baseline,16,25213844.15011067,643.8694508795252,20260933
D1,pilot_baseline,17,25221481.169953357,642.4337207184383,20260932
D1,pilot_baseline,18,25245563.86645435,640.9869864564172,20260912
D1,pilot_baseline,19,25296118.36958161,638.6596958843554,20260912
D1,pilot_baseline,20,25313310.103698507,638.1804410406907,20260932
D1,pilot_baseline,21,25373170.16865519,637.603351320569,20260912
D1,pilot_baseline,22,25381113.971172906,637.462174937037,20260932
D1,pilot_baseline,23,25412277.976145215,637.3194423787354,20260932
D1,pilot_baseline,24,25412396.694947865,637.3121527390931,20260912
D1,pilot_baseline,25,25412552.53586355,636.2742574455212,20260932
D1,pilot_baseline,26,25477489.42523127,636.0770864938119,20260912
D1,pilot_baseline,27,25487990.91266626,635.4987189178859,20260932
D1,pilot_baseline,28,25511794.069225244,635.385771678844,20260912
D1,pilot_baseline,29,25512405.61914239,635.1958254120451,20260912
D1,pilot_baseline,30,25520009.66088834,635.0912322279218,20260912
D1,pilot_baseline,31,25530175.039977346,634.3162187577074,20260912
D1,pilot_baseline,32,25534679.101430047,634.2467667372729,20260912
D1,pilot_baseline,33,25571105.24786311,634.0019876096361,20260932
D1,pilot_baseline,34,25588168.39353081,633.7394485510819,20260932
D1,pilot_baseline,35,25589599.156443063,633.6585786905,20260912
D1,pilot_baseline,36,25606115.69696911,633.477243524744,20260912
D1,pilot_baseline,37,25608682.029926307,633.3881903918789,20260912
D1,pilot_baseline,38,25619704.380212445,633.305472433005,20260927
D1,pilot_baseline,39,25630303.21725872,633.1538114376112,20260932
D1,pilot_baseline,40,25632437.050621632,633.1062400407546,20260912
D1,pilot_baseline,41,25637883.522405136,632.4363962140179,20260912
D1,pilot_baseline,42,25663193.9963302,632.3481515333553,20260932
D1,pilot_baseline,43,25689245.819080215,632.1039281575665,20260932
D1,pilot_baseline,44,25690957.30946771,631.1828970683052,20260912
D1,pilot_baseline,45,25702106.96553333,631.1226613497582,20260912
D1,pilot_baseline,46,25721284.12020118,630.8132637265082,20260932
D1,pilot_baseline,47,25742052.779472794,630.2527356495924,20260912
D1,pilot_baseline,48,25781620.233055748,630.1124616298766,20260912
D1,pilot_baseline,49,25782069.58653237,629.0165537528575,20260932
D1,pilot_baseline,50,25784411.552524347,628.929771282216,20260932
D1,pilot_baseline,51,25850159.04732197,628.6040771836915,20260932
D1,pilot_baseline,52,25874523.312749244,627.7748981606636,20260927
D1,pilot_baseline,53,25887881.881216742,627.5799754051783,20260912
D1,pilot_baseline,54,25947772.611799456,627.1956124114544,20260919
D1,pilot_baseline,55,25960495.03648061,627.1248792493246,20260919
D1,pilot_baseline,56,25960787.670548104,626.3455665972414,20260919
D1,pilot_baseline,57,25978071.889775064,626.0830615249329,20260932
D1,pilot_baseline,58,26012100.002830815,625.5983008306623,20260919
D1,pilot_baseline,59,26035957.91802891,625.3908509426325,20260919
D1,pilot_baseline,60,26041528.754809827,625.1327766265262,20260927
D1,pilot_baseline,61,26047000.380012766,624.6409284071755,20260919
D1,pilot_baseline,62,26078454.04174026,624.6269236616813,20260919
D1,pilot_baseline,63,26088108.51695721,624.3071479515643,20260919
D1,pilot_baseline,64,26106149.48305315,624.1270090013602,20260919
D1,pilot_baseline,65,26141080.43551318,623.4929835591001,20260919
D1,pilot_baseline,66,26166187.815320842,622.7309224621099,20260919
D1,pilot_baseline,67,26181550.811070465,622.6004955759352,20260919
D1,pilot_baseline,68,26207714.111823913,622.1477503571793,20260919
D1,pilot_baseline,69,26230472.702329084,622.1421780482056,20260919
D1,pilot_baseline,70,26233073.149938818,621.8821146802418,20260919
D1,pilot_baseline,71,26286310.200127587,620.976794992271,20260919
D1,pilot_baseline,72,26309731.3301426,620.748467188563,20260919
D1,pilot_baseline,73,26389990.185705308,620.6939774268258,20260925
D1,pilot_baseline,74,26398415.777893074,620.4481500402061,20260925
D1,pilot_baseline,75,26412051.673197955,619.9291129020464,20260925
D1,pilot_baseline,76,26469059.059917103,619.6854423631269,20260915
D1,pilot_baseline,77,26478502.06672025,619.3641697795872,20260915
D1,pilot_baseline,78,26530623.826993868,619.3612708983297,20260915
D1,pilot_baseline,79,26544322.097125288,618.1737686731917,20260915
D1,pilot_baseline,80,26571173.55595367,617.897496926095,20260915
D1,pilot_baseline,81,26591906.179263618,617.5779448683761,20260915
D1,pilot_baseline,82,26653399.489870492,617.1121999235975,20260915
D1,pilot_baseline,83,26720476.696201835,616.6216548441273,20260915
D1,pilot_baseline,84,26772109.384655178,615.6406286172274,20260915
D1,seattle_tacoma_departure_delay_72h,1,26438100.874524277,636.6625372704883,20260921
D1,seattle_tacoma_departure_delay_72h,2,26449367.63834338,635.5995303540876,20260921
D1,seattle_tacoma_departure_delay_72h,3,26460263.885042455,632.5740441890407,20260921
D1,seattle_tacoma_departure_delay_72h,4,26486103.9735737,622.7262752517194,20260913
D1,seattle_tacoma_departure_delay_72h,5,26528008.088636745,622.4462373419008,20260913
D1,seattle_tacoma_departure_delay_72h,6,26531467.90074881,621.3336011434048,20260913
D1,seattle_tacoma_departure_delay_72h,7,26554705.92103494,620.4060199092489,20260913
D1,seattle_tacoma_departure_delay_72h,8,26589551.77261025,619.8427614320216,20260913
D1,seattle_tacoma_departure_delay_72h,9,26613687.32433685,619.4635761089019,20260913
D1,seattle_tacoma_departure_delay_72h,10,26631090.733547166,619.3735274634226,20260913
D1,seattle_tacoma_departure_delay_72h,11,26644141.649462547,618.5922047277552,20260913
D1,seattle_tacoma_departure_delay_72h,12,26659493.13726281,617.2253049228054,20260913
D1,seattle_tacoma_departure_delay_72h,13,26679314.740658864,616.6170463341375,20260913
D1,seattle_tacoma_departure_delay_72h,14,26688170.364024326,616.5741468521829,20260913
D1,seattle_tacoma_departure_delay_72h,15,26715820.703182645,616.303469820817,20260913
D1,seattle_tacoma_departure_delay_72h,16,26727343.457642354,616.0678565884413,20260913
D1,seattle_tacoma_departure_delay_72h,17,26728127.372210182,615.9340257647217,20260913
D1,seattle_tacoma_departure_delay_72h,18,26738524.301334076,615.5792200617772,20260913
D1,seattle_tacoma_departure_delay_72h,19,26751284.88004572,615.5110174390793,20260913
D1,seattle_tacoma_departure_delay_72h,20,26767385.691088796,614.8995978458179,20260913
D1,seattle_tacoma_departure_delay_72h,21,26783627.142691385,614.0764421188185,20260913
D1,seattle_tacoma_departure_delay_72h,22,26801204.85461498,614.0680886689153,20260919
D1,seattle_tacoma_departure_delay_72h,23,26805781.945805784,613.768635065717,20260913
D1,seattle_tacoma_departure_delay_72h,24,26806486.701604467,612.9721165064506,20260919
D1,seattle_tacoma_departure_delay_72h,25,26815251.02514305,612.6053927645801,20260919
D1,seattle_tacoma_departure_delay_72h,26,26831935.383146644,612.317553333113,20260929
D1,seattle_tacoma_departure_delay_72h,27,26841311.93768003,611.7992688272549,20260906
D1,seattle_tacoma_departure_delay_72h,28,26864006.607239485,611.726522405132,20260919
D1,seattle_tacoma_departure_delay_72h,29,26870073.638799086,611.3394493054817,20260919
D1,seattle_tacoma_departure_delay_72h,30,26870980.620728597,611.334105567936,20260919
D1,seattle_tacoma_departure_delay_72h,31,26871956.908414785,611.2366004778387,20260915
D1,seattle_tacoma_departure_delay_72h,32,26889279.53534123,610.6879331809413,20260915
D1,seattle_tacoma_departure_delay_72h,33,26891626.77275636,610.4640873796402,20260915
D1,seattle_tacoma_departure_delay_72h,34,26896180.179929584,609.9454611416146,20260915
D1,seattle_tacoma_departure_delay_72h,35,26896519.83409446,609.9144462287622,20260915
D1,seattle_tacoma_departure_delay_72h,36,26907062.388650086,609.867903208285,20260915
D1,seattle_tacoma_departure_delay_72h,37,26908245.230853826,609.8371794806463,20260915
D1,seattle_tacoma_departure_delay_72h,38,26914284.869347043,609.6034107728872,20260915
D1,seattle_tacoma_departure_delay_72h,39,26917828.772569977,609.5088323659552,20260915
D1,seattle_tacoma_departure_delay_72h,40,26931235.114766132,609.4663308733631,20260915
D1,seattle_tacoma_departure_delay_72h,41,26959495.11085976,609.0618953052915,20260919
D1,seattle_tacoma_departure_delay_72h,42,26960130.902103588,609.0334365282355,20260915
D1,seattle_tacoma_departure_delay_72h,43,26967251.85540053,608.8832469461726,20260923
D1,seattle_tacoma_departure_delay_72h,44,26974467.849735864,608.1540288367405,20260923
D1,seattle_tacoma_departure_delay_72h,45,26982684.234236646,608.0990948507603,20260923
D1,seattle_tacoma_departure_delay_72h,46,26998918.699919835,608.0007801467389,20260915
D1,seattle_tacoma_departure_delay_72h,47,27028150.4444656,607.9657423913611,20260923
D1,seattle_tacoma_departure_delay_72h,48,27034511.860189196,607.8307758263447,20260915
D1,seattle_tacoma_departure_delay_72h,49,27045587.883897703,607.796357563176,20260915
D1,seattle_tacoma_departure_delay_72h,50,27067462.379126564,607.7402162300348,20260923
D1,seattle_tacoma_departure_delay_72h,51,27084836.507578086,607.5701575050679,20260923
D1,seattle_tacoma_departure_delay_72h,52,27109639.154786434,607.5540151767614,20260923
D1,seattle_tacoma_departure_delay_72h,53,27110207.63529137,607.5442599311993,20260923
D1,seattle_tacoma_departure_delay_72h,54,27122471.579474118,607.4815585219043,20260923
D1,seattle_tacoma_departure_delay_72h,55,27131333.37424266,607.4353216175547,20260923
D1,seattle_tacoma_departure_delay_72h,56,27140930.82622351,607.3959778066313,20260923
D1,seattle_tacoma_departure_delay_72h,57,27145187.015471358,607.3464797217783,20260923
D1,seattle_tacoma_departure_delay_72h,58,27155883.096361946,607.1911169487073,20260923
D1,seattle_tacoma_departure_delay_72h,59,27185161.66491071,607.1790396645482,20260923
D1,seattle_tacoma_departure_delay_72h,60,27198811.48195321,607.1319293403851,20260923
D1,seattle_tacoma_departure_delay_72h,61,27201939.093858894,607.0955176030589,20260923
D1,seattle_tacoma_departure_delay_72h,62,27215780.00408075,607.0652098321737,20260923
D1,seattle_tacoma_departure_delay_72h,63,27246902.190975778,606.9318317419863,20260923
D1,seattle_tacoma_departure_delay_72h,64,27250542.91788598,606.8997711510726,20260923
D1,seattle_tacoma_departure_delay_72h,65,27264799.998751026,606.8666046372401,20260923
