case_id,scenario,runs,successful_runs,success_rate,total_front_points,union_front_size,best_cost_usd,cost_median_usd,cost_q1_usd,cost_q3_usd,best_weighted_mean_delivery_time_h,weighted_mean_delivery_time_median_h,weighted_mean_delivery_time_q1_h,weighted_mean_delivery_time_q3_h,hypervolume_median,hypervolume_q1,hypervolume_q3,spacing_median,elapsed_median_seconds,elapsed_total_seconds,ideal_cost_usd,ideal_weighted_mean_delivery_time_h,nadir_cost_usd,nadir_weighted_mean_delivery_time_h,hypervolume_reference_normalized
D1,uswc_port_capacity_65pct,30,30,1.0,1009,86,24842445.19812098,25374969.485197056,25226298.440622937,25522534.517028987,621.3652811230788,624.3128569149832,623.3684655676105,626.399026187485,0.7944626342635451,0.7512705233495424,0.8276702776406053,0.016388681497188154,14.831620293203741,451.42920533614233,24842445.19812098,621.3652811230788,27118914.2105364,660.4667559181308,1.1|1.1
D1,uswc_port_capacity_70pct,30,30,1.0,1014,84,24842445.19812098,25356256.0842871,25226298.440622937,25541187.051981695,615.6406286172274,623.5874171437874,620.6839726029082,626.399026187485,0.6853885518781282,0.6522381499375898,0.7060945015904141,0.0160789787905508,16.580973691074178,494.7517158249393,24842445.19812098,615.6406286172274,26855577.960465163,660.4667559181308,1.1|1.1
D2,la_lb_departure_delay_72h,30,30,1.0,580,38,26193186.405517682,26706226.33406516,26496879.73243379,26849343.983509537,678.7627986013782,683.1121439869523,681.1659722607704,684.1481636193549,0.656244299515198,0.6046009269116088,0.7799792860477761,0.02633719022041156,14.285712495446205,424.9510349179618,26193186.405517682,678.7627986013782,28077678.81171509,699.424559842758,1.1|1.1
D2,la_lb_port_capacity_50pct,30,30,1.0,561,50,25083981.66200837,25706996.53085373,25416024.12726312,25951855.350952037,645.3196272149385,649.211373934162,647.2594381748413,651.9733722727428,0.6724999671359078,0.5771971265712812,0.7604537081488361,0.029056943196336737,14.645661261864007,435.949828365352,25083981.66200837,645.3196272149385,27732949.93310342,663.7717614828964,1.1|1.1
D2,pilot_baseline,30,30,1.0,747,68,25042488.426821988,25277711.995491184,25162655.08831432,25387293.896634724,614.2157580011346,622.7134638938032,620.0441222027036,623.8528136555974,0.7428470213817568,0.6924363499869198,0.7762983850559437,0.021497814070183138,14.199427453801036,425.1397919827141,25042488.426821988,614.2157580011346,26640245.027966164,648.8895653143628,1.1|1.1
D2,seattle_tacoma_departure_delay_72h,30,30,1.0,545,69,25746990.65791774,25894104.328888837,25856772.955995362,25960981.477968093,607.7251530546121,612.3460914957266,611.5455564833712,614.2331530251731,0.7815959925912914,0.6263635964847132,0.854927777369636,0.02603384043706104,13.361729740398005,401.16076522506773,25746990.65791774,607.7251530546121,26636526.226254925,630.056449968914,1.1|1.1
D2,seattle_tacoma_port_capacity_50pct,30,30,1.0,747,68,25042488.426821988,25277711.995491184,25162655.08831432,25387293.896634724,614.2157580011346,622.7134638938032,620.0441222027036,623.8528136555974,0.7428470213817568,0.6924363499869198,0.7762983850559437,0.021497814070183138,14.292675358476117,427.1911662216298,25042488.426821988,614.2157580011346,26640245.027966164,648.8895653143628,1.1|1.1
D2,uswc_compound_50pct_delay_120h,30,30,1.0,118,10,33318171.218447033,34148409.775715515,33688649.64677449,34551467.943759084,731.5874626943183,733.4176320504728,732.791249610705,734.1590918340268,0.5635585437995532,0.29574609796660584,0.7166456398747085,0.019805752075492254,12.800470114452764,384.3334846920334,33318171.218447033,731.5874626943183,35482362.63102789,736.7639562213506,1.1|1.1
D2,uswc_departure_delay_120h,30,30,1.0,118,10,33318171.218447033,34148409.775715515,33688649.64677449,34551467.943759084,731.5874626943183,733.4176320504728,732.791249610705,734.1590918340268,0.5635585437995532,0.29574609796660584,0.7166456398747085,0.019805752075492254,12.813180634984747,384.1680827662349,33318171.218447033,731.5874626943183,35482362.63102789,736.7639562213506,1.1|1.1
D2,uswc_departure_delay_168h,30,30,1.0,100,11,43263890.44103574,43893533.76077072,43613779.671422765,44164731.913991645,774.8800182828641,775.3213755119708,774.9610368284355,776.1197960146421,0.6926442931456045,0.4350442921612944,0.8912882496141413,0.011088891482587716,12.485511420993134,374.71525594173,43263890.44103574,774.8800182828641,44787507.620703034,778.8570652905455,1.1|1.1
D2,uswc_departure_delay_96h,30,30,1.0,150,10,29329452.25077779,30160060.452367637,29747604.2462506,30401170.12354802,704.4683570418417,705.1615844330213,704.6594722679871,706.0217375828306,0.7125376684167034,0.538597180559857,0.9166489853328281,0.025167731490151793,12.968750026542693,386.0933287390508,29329452.25077779,704.4683570418417,31490921.465330333,712.5846306384984,1.1|1.1
D2,uswc_port_capacity_60pct,30,30,1.0,849,60,25015859.292842645,25360420.952405155,25198376.07101571,25530734.137204435,627.261240843377,633.8198439326042,632.3501824100341,634.8554810168873,0.6854982553076212,0.6312664916399896,0.7326855130970005,0.02448325916559766,14.295853117015213,429.2851711898111,25015859.292842645,627.261240843377,27148316.03363556,650.3911921303675,1.1|1.1
D2,uswc_port_capacity_65pct,30,30,1.0,824,77,25043487.55585404,25304993.92048434,25207822.774516687,25422182.64261861,619.0053947687866,626.6776220562482,625.3706446950285,627.9137998439686,0.721578488790444,0.7056375972479012,0.7474325077352094,0.01898561625094962,14.247959222644567,425.9437713138759,25043487.55585404,619.0053947687866,26919481.100948412,647.7382490196475,1.1|1.1
D2,uswc_port_capacity_70pct,30,30,1.0,782,83,25042488.426821988,25277711.995491184,25162655.08831432,25388961.143536434,613.2728915036072,622.7134638938032,620.5831004483176,623.8528136555974,0.7467461602462532,0.7150586983393599,0.7953621291899909,0.021307724717375957,14.204075671732426,425.12763208616525,25042488.426821988,613.2728915036072,26916157.937813066,648.8895653143628,1.1|1.1
D3,la_lb_departure_delay_72h,30,30,1.0,589,47,29152453.65233205,29694346.881550197,29500224.77581283,29759216.925155476,692.9039000051813,695.502327724708,693.8472294149285,696.7967374825892,0.7912702629383119,0.729339758093883,0.8322717165437963,0.027831535233407277,14.114574015606195,422.9575834600255,29152453.65233205,692.9039000051813,31240501.26532397,715.7298392365666,1.1|1.1
