case_id,scenario,point_id,total_cost_usd,quantity_weighted_mean_delivery_time_h,source_seeds
D3,pilot_baseline,47,27630395.33042214,639.4714154959914,20260929
D3,pilot_baseline,48,27631761.044654634,639.3812672338424,20260906
D3,pilot_baseline,49,27638729.956879683,639.0769029108418,20260914
D3,pilot_baseline,50,27642818.33045243,638.669349360385,20260911
D3,pilot_baseline,51,27664878.684072804,638.4825970687725,20260907
D3,pilot_baseline,52,27679532.26776552,638.0040425240385,20260907
D3,pilot_baseline,53,27707934.182482336,637.5256341512203,20260907
D3,pilot_baseline,54,27742777.101409726,637.1491016110156,20260929
D3,pilot_baseline,55,27776016.9319294,637.1223277475217,20260929
D3,pilot_baseline,56,27783302.834795497,635.5445716862802,20260931
D3,pilot_baseline,57,27857275.620715957,635.467158191678,20260914
D3,pilot_baseline,58,27883052.747887503,635.4283766083394,20260907
D3,pilot_baseline,59,27949334.37622791,634.9665957586682,20260918
D3,pilot_baseline,60,27960434.894237146,634.5819840222651,20260931
D3,pilot_baseline,61,27976000.56065584,634.5298904578734,20260914
D3,pilot_baseline,62,28032074.82568361,634.2009414968325,20260931
D3,pilot_baseline,63,28057628.575082324,633.5279700894674,20260916
D3,pilot_baseline,64,28068174.51347062,633.027109012823,20260916
D3,pilot_baseline,65,28103042.832278684,632.6691331785843,20260918
D3,pilot_baseline,66,28168448.21915646,632.3467983292057,20260931
D3,pilot_baseline,67,28169057.70775276,631.4849769759304,20260916
D3,pilot_baseline,68,28218641.61805294,630.5044633017545,20260918
D3,pilot_baseline,69,28309707.387752768,630.2959309602178,20260916
D3,pilot_baseline,70,28458369.659663968,628.8034578149013,20260918
D3,pilot_baseline,71,28609050.379138157,628.0642444823245,20260914
